date,station,temp_mean_c,temp_min_c,temp_max_c,dewpoint_mean_c,relative_humidity_mean,wind_speed_mean_mps,precipitation_mm,latitude,longitude,elevation_m,source_type
2020-01-02,IOW,6.296296296296297,2.7777777777777777,10.555555555555555,0.23379629629629603,65.625,3.6439783333333335,0.0,41.6394,-91.5445,204.0,public observation
2020-01-03,IOW,2.119598765432099,0.5555555555555556,5.277777777777778,-1.7075617283950617,75.8490625,3.2728133079594017,0.508,41.6394,-91.5445,204.0,public observation
2020-01-04,IOW,-0.3699845679012346,-2.7777777777777777,1.6666666666666667,-3.076967592592593,81.94388888888888,3.7529917553324537,0.508,41.6394,-91.5445,204.0,public observation
2020-01-05,IOW,1.3530092592592593,-4.388888888888888,8.333333333333334,-3.7106481481481484,70.20375,5.149151025641026,0.0,41.6394,-91.5445,204.0,public observation
2020-01-06,IOW,-0.7910052910052909,-5.0,3.888888888888889,-5.8280423280423275,69.5795238095238,2.5227970582750583,0.0,41.6394,-91.5445,204.0,public observation
2020-01-07,IOW,-0.3078703703703705,-3.888888888888889,2.7777777777777777,-5.148148148148148,70.7475,2.5844490373931626,0.0,41.6394,-91.5445,204.0,public observation
2020-01-08,IOW,-4.930555555555556,-9.38888888888889,1.1111111111111112,-13.5,51.57749999999999,4.930837814685315,0.0,41.6394,-91.5445,204.0,public observation
2020-01-09,IOW,4.979166666666667,-4.388888888888888,15.555555555555555,-2.638888888888889,58.51666666666667,6.234335782051282,0.0,41.6394,-91.5445,204.0,public observation
2020-01-10,IOW,1.6587962962962963,-0.6111111111111119,10.555555555555555,-2.5243055555555554,74.33114583333334,3.637243529594017,8.636000000000001,41.6394,-91.5445,204.0,public observation
2020-01-11,IOW,-2.5787037037037037,-4.388888888888888,0.5555555555555556,-5.861111111111112,78.13798611111112,6.197718353792735,6.35,41.6394,-91.5445,204.0,public observation
2020-01-12,IOW,-3.6350308641975304,-5.0,-2.2222222222222223,-7.141203703703703,76.70715277777778,2.7007474863636367,0.0,41.6394,-91.5445,204.0,public observation
