activity_id,date,site_id,characteristic_name,result_value,result_unit,sample_medium,activity_type,latitude,longitude,source_type
nwisia.01.94600016,1946-04-01,USGS-05454500,"Temperature, water",13.5,deg C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94600016,1946-04-01,USGS-05454500,Specific conductance,521.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94500027,1945-05-14,USGS-05454500,Specific conductance,414.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94500027,1945-05-14,USGS-05454500,pH,7.9,std units,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94500027,1945-05-14,USGS-05454500,Nitrate,2.71,mg/L as N,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.91300005,1913-09-01,USGS-05454500,Nitrate,0.407,mg/L as N,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.95200013,1952-06-06,USGS-05454500,Specific conductance,425.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.95200013,1952-06-06,USGS-05454500,pH,7.6,std units,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94500005,1944-11-11,USGS-05454500,Specific conductance,517.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.95400007,1954-02-15,USGS-05454500,Specific conductance,455.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.95400007,1954-02-15,USGS-05454500,pH,7.9,std units,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.90700024,1907-06-08,USGS-05454500,Turbidity,650.0,mg/l SiO2,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.90700024,1907-06-08,USGS-05454500,Nitrate,0.791,mg/L as N,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94700030,1947-06-21,USGS-05454500,"Temperature, water",22.0,deg C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94500021,1945-03-21,USGS-05454500,Specific conductance,401.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.91200001,1912-08-18,USGS-05454500,Nitrate,0.113,mg/L as N,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94700030,1947-06-21,USGS-05454500,Specific conductance,347.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.95300031,1953-07-07,USGS-05454500,Specific conductance,454.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.95300031,1953-07-07,USGS-05454500,pH,7.8,std units,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94500009,1944-12-11,USGS-05454500,Specific conductance,582.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94500028,1945-05-21,USGS-05454500,Specific conductance,463.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.90700009,1907-01-05,USGS-05454500,Turbidity,140.0,mg/l SiO2,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.90700009,1907-01-05,USGS-05454500,Nitrate,1.17,mg/L as N,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.91200002,1912-08-19,USGS-05454500,Turbidity,340.0,mg/l SiO2,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.95300019,1953-02-28,USGS-05454500,Specific conductance,284.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.95300019,1953-02-28,USGS-05454500,pH,7.1,std units,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.90600001,1906-09-06,USGS-05454500,Turbidity,90.0,mg/l SiO2,Water,Sample-Routine,41.656,-91.536,public observation
